conteudo,sentimento,tema,universidade,perfil
PL das fake news na versão atual concentra poder de moderação no Estado. Não pode.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFMG,progressista-regional
"cara, plataforma que lucra com ódio precisa ser responsabilizada. Regulamentação é urgente.",positivo,Regulamentação das Redes Sociais e Discurso de Ódio,UNB,político-crítico
"A reforma simplificou o consumo, mas deixou a renda intocada. Avanço parcial.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,UNICAMP,técnico-crítico
Sou contra. Vida começa na concepção e o Estado não pode legitimar seu fim.,negativo,Descriminalização vs. Legalização do Aborto,FGV,liberal-econômico
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,UNICAMP,técnico-crítico
"mano, FIES e ProUni são as únicas portas de entrada no ensino superior pra quem não passou em federal.",positivo,Expansão ou Corte do FIES e ProUni,USP,progressista-técnico
"O debate precisa separar posse em casa, porte em via pública e uso por CAC. São coisas diferentes.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,INSPER,liberal-meritocrático
Prefiro debater educação política nas escolas antes de decidir sobre obrigatoriedade.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,USP,progressista-técnico
"cê tá brincando, há exceções que já são legais. Legalização ampla é diferente e eu discordo.",negativo,Descriminalização vs. Legalização do Aborto,UNICAMP,técnico-crítico
"IVA dual simplifica, mas sem progressividade real continuamos com sistema injusto.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,MACKENZIE,conservador-técnico
Difícil equilibrar proteção contra ódio e liberdade de expressão. Não existe solução perfeita.,neutro,Regulamentação das Redes Sociais e Discurso de Ódio,INSPER,liberal-meritocrático
"Respeito quem defende, mas minha posição é contrária. Adoção precisa ser facilitada primeiro.",negativo,Descriminalização vs. Legalização do Aborto,INSPER,liberal-meritocrático
"oxe, o Brasil tem uma das tributações mais regressivas do mundo. Quem ganha menos paga mais. Isso precisa mudar.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,UNB,político-crítico
"Sô, crise climática não espera o momento politicamente conveniente. Precisamos agir agora.",positivo,Transição Energética e Custo para a População,UFMG,progressista-regional
"O custo da transição precisa ser distribuído de forma progressiva. Não é simples, mas é necessário.",neutro,Transição Energética e Custo para a População,PUC_SP,progressista-católico
"Arma não protege, estatística mundial é clara. Restrição salva vidas.",positivo,Desarmamento vs. Flexibilização do Porte de Armas,UNICAMP,técnico-crítico
Cada disciplina tem uma relação diferente com IA. Não dá pra ter uma regra única pra tudo.,neutro,Regulamentação do Uso de IA em Provas e TCCs,PUC_SP,progressista-católico
Apoio o desarmamento. Revogação dos decretos de Bolsonaro foi acerto.,positivo,Desarmamento vs. Flexibilização do Porte de Armas,UNB,político-crítico
"Sou contra IGF. Quem tem patrimônio já paga IPTU, ITCMD, dividendos. Mais imposto não é solução.",negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,PUC_SP,progressista-católico
"Sou a favor da transição, mas o ritmo proposto é irreal e vai comprometer abastecimento.",negativo,Transição Energética e Custo para a População,UFMG,progressista-regional
"cara, universidade federal não pode depender de repasse que muda a cada governo. Precisamos de autonomia orçamentária garantida em lei.",positivo,Cortes no Orçamento das Universidades Federais,FGV,liberal-econômico
Difícil equilibrar proteção contra ódio e liberdade de expressão. Não existe solução perfeita.,neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UNB,político-crítico
Apoio políticas de energia limpa mesmo com custo de curto prazo. O custo do inação é maior.,positivo,Transição Energética e Custo para a População,FGV,liberal-econômico
Financiar faculdade privada de baixa qualidade com dinheiro público não é inclusão — é desperdício.,negativo,Expansão ou Corte do FIES e ProUni,USP,progressista-técnico
Prefiro plataforma com excesso de liberdade a Estado decidindo o que posso falar.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UNB,político-crítico
Apoio o desarmamento. Revogação dos decretos de Bolsonaro foi acerto.,positivo,Desarmamento vs. Flexibilização do Porte de Armas,USP,progressista-técnico
"Uso como ferramenta auxiliar tudo bem, mas precisamos definir o que é plágio nesse novo contexto.",neutro,Regulamentação do Uso de IA em Provas e TCCs,UFBA,progressista-nordestino
"Corte dói, mas o orçamento público é finito. Precisamos de priorização, não de carta branca.",negativo,Cortes no Orçamento das Universidades Federais,UFBA,progressista-nordestino
"Apoio a meta, mas o prazo e o modelo de financiamento precisam de debate técnico sério.",neutro,Transição Energética e Custo para a População,UNICAMP,técnico-crítico
Cada real cortado da universidade é multiplicado em atraso de desenvolvimento. Contra os cortes.,positivo,Cortes no Orçamento das Universidades Federais,USP,progressista-técnico
"IGF afasta investimento e capital. Na prática gera menos arrecadação, não mais.",negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,PUC_SP,progressista-católico
"sô, banir IA é ingenuidade. Precisamos ensinar a usar com ética e transparência.",positivo,Regulamentação do Uso de IA em Provas e TCCs,UFMG,progressista-regional
"IGF faz sentido em tese, mas a implementação no Brasil seria complexa demais sem reforma do judiciário junto.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,MACKENZIE,conservador-técnico
"Nossa, que avanço ter esse debate de forma séria. A PUC precisava disso há anos.",positivo,Saúde Mental no Ambiente Universitário,UFMG,progressista-regional
Nem proibir nem liberar sem critério. Precisamos de política clara e consistente entre os departamentos.,neutro,Regulamentação do Uso de IA em Provas e TCCs,FGV,liberal-econômico
Apoio o desarmamento. Revogação dos decretos de Bolsonaro foi acerto.,positivo,Desarmamento vs. Flexibilização do Porte de Armas,UNB,político-crítico
"Sô, crise climática não espera o momento politicamente conveniente. Precisamos agir agora.",positivo,Transição Energética e Custo para a População,UFMG,progressista-regional
"faz sentido, bandido não obedece lei de desarmamento. Só o cidadão honesto fica indefeso.",negativo,Desarmamento vs. Flexibilização do Porte de Armas,FGV,liberal-econômico
Regulamentação de conteúdo é censura com outro nome. Sou contra.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFMG,progressista-regional
Financiar faculdade privada de baixa qualidade com dinheiro público não é inclusão — é desperdício.,negativo,Expansão ou Corte do FIES e ProUni,UNICAMP,técnico-crítico
"Apoio o acesso, mas o modelo precisa garantir que o diploma tenha valor no mercado depois.",neutro,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
"Os dados internacionais apontam pra restrição, mas o contexto brasileiro tem especificidades.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,FGV,liberal-econômico
"Discordo da facultatividade. Em país com desigualdade histórica, participação precisa ser garantida.",negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,USP,progressista-técnico
Depende muito de como a educação cívica for implementada junto. Não dá pra separar.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,UFRJ,progressista-carioca
"Sou a favor do suporte, mas sem enfrentar a raiz — competição, precariedade, futuro incerto — não muda nada.",negativo,Saúde Mental no Ambiente Universitário,UFRJ,progressista-carioca
"no final do dia, FIES e ProUni são as únicas portas de entrada no ensino superior pra quem não passou em federal.",positivo,Expansão ou Corte do FIES e ProUni,FGV,liberal-econômico
"Suporte psicológico é necessário, mas não suficiente. O debate precisa ir além do atendimento individual.",neutro,Saúde Mental no Ambiente Universitário,UNICAMP,técnico-crítico
"Apoio a iniciativa, mas quero ver dados de impacto antes de dizer que está funcionando.",neutro,Saúde Mental no Ambiente Universitário,UNB,político-crítico
"Se a pessoa tem 16 e quer votar, ótimo. Se não quer, forçar não faz sentido.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UNICAMP,técnico-crítico
"Respeito quem defende, mas minha posição é contrária. Adoção precisa ser facilitada primeiro.",negativo,Descriminalização vs. Legalização do Aborto,UNICAMP,técnico-crítico
Prefiro debater educação política nas escolas antes de decidir sobre obrigatoriedade.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,UFBA,progressista-nordestino
"Oxe, cortaram bolsa de IC, verba de laboratório e agora querem cortar manutenção de campus. Até quando?",positivo,Cortes no Orçamento das Universidades Federais,UNB,político-crítico
"Apoio regulamentação, mas com revisão independente e sem controle governamental direto.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UFMG,progressista-regional
"ué, criar um 'setor de bem-estar' sem mudar a cultura de pressão é enganação.",negativo,Saúde Mental no Ambiente Universitário,UNICAMP,técnico-crítico
"no final do dia, tem universidade federal com obra parada há 10 anos e orçamento gigante. O problema não é só dinheiro.",negativo,Cortes no Orçamento das Universidades Federais,FGV,liberal-econômico
"gente, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,PUC_SP,progressista-católico
"Sou a favor do suporte, mas sem enfrentar a raiz — competição, precariedade, futuro incerto — não muda nada.",negativo,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
"Nossa, que avanço ter esse debate de forma séria. A PUC precisava disso há anos.",positivo,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
A academia que não incorpora novas ferramentas fica pra trás. Regulamentação inteligente é o caminho.,positivo,Regulamentação do Uso de IA em Provas e TCCs,UFBA,progressista-nordestino
"Apoio descriminalização em casos extremos, mas legalização ampla ainda gera dúvidas pra mim.",neutro,Descriminalização vs. Legalização do Aborto,UNICAMP,técnico-crítico
"cara, há exceções que já são legais. Legalização ampla é diferente e eu discordo.",negativo,Descriminalização vs. Legalização do Aborto,INSPER,liberal-meritocrático
Países que legalizaram viram queda no número de abortos e zero aumento. Os dados estão aí.,positivo,Descriminalização vs. Legalização do Aborto,UFBA,progressista-nordestino
"daora, voto facultativo aos 16 respeita a autonomia de quem ainda não se sente pronto pra decidir.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,USP,progressista-técnico
Nem proibir nem liberar sem critério. Precisamos de política clara e consistente entre os departamentos.,neutro,Regulamentação do Uso de IA em Provas e TCCs,PUC_SP,progressista-católico
Preciso ver a proposta completa antes de opinar. Detalhes de alíquota e base de cálculo mudam tudo.,neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,UNB,político-crítico
Subsídio a energia solar beneficia quem tem telhado e dinheiro pra painel. Não é política popular.,negativo,Transição Energética e Custo para a População,UFMG,progressista-regional
É uma pauta que divide genuinamente por valores. Não consigo reduzir a certo ou errado.,neutro,Descriminalização vs. Legalização do Aborto,UNICAMP,técnico-crítico
"cara, há exceções que já são legais. Legalização ampla é diferente e eu discordo.",negativo,Descriminalização vs. Legalização do Aborto,INSPER,liberal-meritocrático
"Oxe, cortar FIES em ano de desemprego alto é a pior decisão possível.",positivo,Expansão ou Corte do FIES e ProUni,UNICAMP,técnico-crítico
Apoio políticas de energia limpa mesmo com custo de curto prazo. O custo do inação é maior.,positivo,Transição Energética e Custo para a População,UFMG,progressista-regional
Nem proibir nem liberar sem critério. Precisamos de política clara e consistente entre os departamentos.,neutro,Regulamentação do Uso de IA em Provas e TCCs,UFBA,progressista-nordestino
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
"Apoio regulamentação, mas com revisão independente e sem controle governamental direto.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,USP,progressista-técnico
Apoio o desarmamento. Revogação dos decretos de Bolsonaro foi acerto.,positivo,Desarmamento vs. Flexibilização do Porte de Armas,UFRJ,progressista-carioca
"Contra corte indiscriminado, mas a favor de auditoria e transparência no uso do orçamento universitário.",neutro,Cortes no Orçamento das Universidades Federais,MACKENZIE,conservador-técnico
"Transição sim, mas com plano de proteção pra quem vai perder emprego nas indústrias tradicionais.",neutro,Transição Energética e Custo para a População,MACKENZIE,conservador-técnico
"cara, banir IA é ingenuidade. Precisamos ensinar a usar com ética e transparência.",positivo,Regulamentação do Uso de IA em Provas e TCCs,UNICAMP,técnico-crítico
"tá ligado, tem universidade federal com obra parada há 10 anos e orçamento gigante. O problema não é só dinheiro.",negativo,Cortes no Orçamento das Universidades Federais,USP,progressista-técnico
Restrição ao porte é paternalismo. Cada um deveria ter direito de se defender.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,UNB,político-crítico
Cada real cortado da universidade é multiplicado em atraso de desenvolvimento. Contra os cortes.,positivo,Cortes no Orçamento das Universidades Federais,PUC_SP,progressista-católico
"IVA dual simplifica, mas sem progressividade real continuamos com sistema injusto.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,UNB,político-crítico
"FIES virou rombo fiscal sem retorno claro. Precisamos de critério mais rigoroso, não de expansão.",negativo,Expansão ou Corte do FIES e ProUni,UNB,político-crítico
STF tem que garantir o direito. O Estado não pode obrigar ninguém a gestar contra a vontade.,positivo,Descriminalização vs. Legalização do Aborto,UNB,político-crítico
Liberdade de expressão não é liberdade pra desumanizar. Apoio o PL das redes.,positivo,Regulamentação das Redes Sociais e Discurso de Ódio,PUC_SP,progressista-católico
"no final, o Brasil tem uma das tributações mais regressivas do mundo. Quem ganha menos paga mais. Isso precisa mudar.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,INSPER,liberal-meritocrático
"Mermão, o argumento de legítima defesa ignora que a maioria das mortes por arma é acidental ou impulsiva.",positivo,Desarmamento vs. Flexibilização do Porte de Armas,UFMG,progressista-regional
"Sô, crise climática não espera o momento politicamente conveniente. Precisamos agir agora.",positivo,Transição Energética e Custo para a População,MACKENZIE,conservador-técnico
"Nossa, que avanço ter esse debate de forma séria. A PUC precisava disso há anos.",positivo,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
Índice de ansiedade e depressão entre universitários é alarmante. Precisamos agir agora.,positivo,Saúde Mental no Ambiente Universitário,UFMG,progressista-regional
"no final do dia, bandido não obedece lei de desarmamento. Só o cidadão honesto fica indefeso.",negativo,Desarmamento vs. Flexibilização do Porte de Armas,FGV,liberal-econômico
"Expansão sim, mas com critério de qualidade das instituições conveniadas. Nem toda privada serve.",neutro,Expansão ou Corte do FIES e ProUni,PUC_SP,progressista-católico
"Sou a favor do suporte, mas sem enfrentar a raiz — competição, precariedade, futuro incerto — não muda nada.",negativo,Saúde Mental no Ambiente Universitário,UNB,político-crítico
"O debate precisa separar o aspecto jurídico, o de saúde pública e o ético. Estão misturados aqui.",neutro,Descriminalização vs. Legalização do Aborto,MACKENZIE,conservador-técnico
"no final do dia, o Brasil tem uma das tributações mais regressivas do mundo. Quem ganha menos paga mais. Isso precisa mudar.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,FGV,liberal-econômico
É uma pauta que divide genuinamente por valores. Não consigo reduzir a certo ou errado.,neutro,Descriminalização vs. Legalização do Aborto,UNICAMP,técnico-crítico
"IGF afasta investimento e capital. Na prática gera menos arrecadação, não mais.",negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,UFMG,progressista-regional
"uai, universidade federal não pode depender de repasse que muda a cada governo. Precisamos de autonomia orçamentária garantida em lei.",positivo,Cortes no Orçamento das Universidades Federais,UFMG,progressista-regional
"Suporte psicológico é necessário, mas não suficiente. O debate precisa ir além do atendimento individual.",neutro,Saúde Mental no Ambiente Universitário,UNB,político-crítico
Difícil equilibrar proteção contra ódio e liberdade de expressão. Não existe solução perfeita.,neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UFBA,progressista-nordestino
Brasil tem potencial solar e eólico imenso. Não aproveitar é desperdiçar vantagem competitiva.,positivo,Transição Energética e Custo para a População,UNB,político-crítico
"IGF não é radicalismo, é prática comum em países desenvolvidos. Apoio.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,UFBA,progressista-nordestino
"Corte dói, mas o orçamento público é finito. Precisamos de priorização, não de carta branca.",negativo,Cortes no Orçamento das Universidades Federais,UFRJ,progressista-carioca
Prefiro debater educação política nas escolas antes de decidir sobre obrigatoriedade.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,USP,progressista-técnico
"bão demais, energia renovável ainda é cara e intermitente. Não dá pra desligar termelétrica do dia pra noite.",negativo,Transição Energética e Custo para a População,UFMG,progressista-regional
"FIES virou rombo fiscal sem retorno claro. Precisamos de critério mais rigoroso, não de expansão.",negativo,Expansão ou Corte do FIES e ProUni,UFBA,progressista-nordestino
Cada real cortado da universidade é multiplicado em atraso de desenvolvimento. Contra os cortes.,positivo,Cortes no Orçamento das Universidades Federais,UFRJ,progressista-carioca
"Expansão sim, mas com critério de qualidade das instituições conveniadas. Nem toda privada serve.",neutro,Expansão ou Corte do FIES e ProUni,MACKENZIE,conservador-técnico
Cada disciplina tem uma relação diferente com IA. Não dá pra ter uma regra única pra tudo.,neutro,Regulamentação do Uso de IA em Provas e TCCs,USP,progressista-técnico
"Transição sim, mas com plano de proteção pra quem vai perder emprego nas indústrias tradicionais.",neutro,Transição Energética e Custo para a População,FGV,liberal-econômico
"Corte dói, mas o orçamento público é finito. Precisamos de priorização, não de carta branca.",negativo,Cortes no Orçamento das Universidades Federais,USP,progressista-técnico
Cada disciplina tem uma relação diferente com IA. Não dá pra ter uma regra única pra tudo.,neutro,Regulamentação do Uso de IA em Provas e TCCs,UFBA,progressista-nordestino
Depende muito de como a educação cívica for implementada junto. Não dá pra separar.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,UFBA,progressista-nordestino
Difícil equilibrar proteção contra ódio e liberdade de expressão. Não existe solução perfeita.,neutro,Regulamentação das Redes Sociais e Discurso de Ódio,MACKENZIE,conservador-técnico
FIES tem problema de inadimplência estrutural. Precisa de reforma antes de expansão.,neutro,Expansão ou Corte do FIES e ProUni,UFMG,progressista-regional
"tá bom, há exceções que já são legais. Legalização ampla é diferente e eu discordo.",negativo,Descriminalização vs. Legalização do Aborto,UNB,político-crítico
Transição energética não pode jogar a conta no consumidor de baixa renda. Isso é injustiça disfarçada de ecologia.,negativo,Transição Energética e Custo para a População,UNICAMP,técnico-crítico
"cara, pesquisa científica exige processo cognitivo que IA não substitui. Sou contra o uso sem restrição.",negativo,Regulamentação do Uso de IA em Provas e TCCs,MACKENZIE,conservador-técnico
FIES tem problema de inadimplência estrutural. Precisa de reforma antes de expansão.,neutro,Expansão ou Corte do FIES e ProUni,FGV,liberal-econômico
"visse, reforma tributária bem feita simplifica e desoneração a produção. Não é criar novo imposto.",negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,UFBA,progressista-nordestino
Prefiro debater educação política nas escolas antes de decidir sobre obrigatoriedade.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,FGV,liberal-econômico
"O custo da transição precisa ser distribuído de forma progressiva. Não é simples, mas é necessário.",neutro,Transição Energética e Custo para a População,INSPER,liberal-meritocrático
"Voto aos 16 sim, mas a discussão sobre obrigatório vs. facultativo é legítima e não tem resposta óbvia.",neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,UNB,político-crítico
Prefiro debater educação política nas escolas antes de decidir sobre obrigatoriedade.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,INSPER,liberal-meritocrático
"Transição sim, mas com plano de proteção pra quem vai perder emprego nas indústrias tradicionais.",neutro,Transição Energética e Custo para a População,USP,progressista-técnico
FIES tem problema de inadimplência estrutural. Precisa de reforma antes de expansão.,neutro,Expansão ou Corte do FIES e ProUni,UNB,político-crítico
"IGF faz sentido em tese, mas a implementação no Brasil seria complexa demais sem reforma do judiciário junto.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,MACKENZIE,conservador-técnico
"O debate precisa separar o aspecto jurídico, o de saúde pública e o ético. Estão misturados aqui.",neutro,Descriminalização vs. Legalização do Aborto,INSPER,liberal-meritocrático
"que absurdo, finalmente a universidade tratando saúde mental como pauta institucional séria.",positivo,Saúde Mental no Ambiente Universitário,PUC_SP,progressista-católico
"véi, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFRJ,progressista-carioca
"Sô, crise climática não espera o momento politicamente conveniente. Precisamos agir agora.",positivo,Transição Energética e Custo para a População,INSPER,liberal-meritocrático
"Apoio a meta, mas o prazo e o modelo de financiamento precisam de debate técnico sério.",neutro,Transição Energética e Custo para a População,USP,progressista-técnico
"Apoio o acesso, mas o modelo precisa garantir que o diploma tenha valor no mercado depois.",neutro,Expansão ou Corte do FIES e ProUni,UNICAMP,técnico-crítico
Depende muito de como a educação cívica for implementada junto. Não dá pra separar.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,UNICAMP,técnico-crítico
"Sou contra IGF. Quem tem patrimônio já paga IPTU, ITCMD, dividendos. Mais imposto não é solução.",negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,FGV,liberal-econômico
Liberdade de expressão não é liberdade pra desumanizar. Apoio o PL das redes.,positivo,Regulamentação das Redes Sociais e Discurso de Ódio,UFMG,progressista-regional
"Regulamentação sim, mas o modelo importa. PL atual tem problemas sérios que precisam ser corrigidos.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,INSPER,liberal-meritocrático
"Apoio o acesso, mas o modelo precisa garantir que o diploma tenha valor no mercado depois.",neutro,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
"ai meu deus, mais arma em circulação é mais risco pra todo mundo. Os dados de homicídio confirmam.",positivo,Desarmamento vs. Flexibilização do Porte de Armas,PUC_SP,progressista-católico
A academia que não incorpora novas ferramentas fica pra trás. Regulamentação inteligente é o caminho.,positivo,Regulamentação do Uso de IA em Provas e TCCs,USP,progressista-técnico
Apoio total à criação de serviços de apoio psicológico gratuito no campus. Era o mínimo.,positivo,Saúde Mental no Ambiente Universitário,PUC_SP,progressista-católico
"oxe, finalmente a universidade tratando saúde mental como pauta institucional séria.",positivo,Saúde Mental no Ambiente Universitário,UFBA,progressista-nordestino
Cada campus tem realidade diferente. Uma política nacional de saúde mental universitária precisa de flexibilidade.,neutro,Saúde Mental no Ambiente Universitário,MACKENZIE,conservador-técnico
"O corte é real e prejudica, mas a solução não é só mais recurso — é também mais eficiência.",neutro,Cortes no Orçamento das Universidades Federais,FGV,liberal-econômico
FIES tem problema de inadimplência estrutural. Precisa de reforma antes de expansão.,neutro,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
O problema de saúde mental universitária tem raiz na precariedade do próprio sistema. Não resolve com palestra.,negativo,Saúde Mental no Ambiente Universitário,USP,progressista-técnico
FIES tem problema de inadimplência estrutural. Precisa de reforma antes de expansão.,neutro,Expansão ou Corte do FIES e ProUni,UFBA,progressista-nordestino
"Oxe, cortar FIES em ano de desemprego alto é a pior decisão possível.",positivo,Expansão ou Corte do FIES e ProUni,USP,progressista-técnico
Países que legalizaram viram queda no número de abortos e zero aumento. Os dados estão aí.,positivo,Descriminalização vs. Legalização do Aborto,UFBA,progressista-nordestino
O problema do Brasil não é pouca tributação de rico — é gasto público ineficiente. Começar por aí.,negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,UFRJ,progressista-carioca
"Uso como ferramenta auxiliar tudo bem, mas precisamos definir o que é plágio nesse novo contexto.",neutro,Regulamentação do Uso de IA em Provas e TCCs,INSPER,liberal-meritocrático
"Apoio a iniciativa, mas quero ver dados de impacto antes de dizer que está funcionando.",neutro,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
"Apoio a meta, mas o prazo e o modelo de financiamento precisam de debate técnico sério.",neutro,Transição Energética e Custo para a População,PUC_SP,progressista-católico
"Voto aos 16 sim, mas a discussão sobre obrigatório vs. facultativo é legítima e não tem resposta óbvia.",neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,INSPER,liberal-meritocrático
"Oxe, cortaram bolsa de IC, verba de laboratório e agora querem cortar manutenção de campus. Até quando?",positivo,Cortes no Orçamento das Universidades Federais,PUC_SP,progressista-católico
"Manifestação unificada de reitores contra os cortes. Apoio total. Ciência não é gasto, é investimento.",positivo,Cortes no Orçamento das Universidades Federais,USP,progressista-técnico
"Sou a favor do suporte, mas sem enfrentar a raiz — competição, precariedade, futuro incerto — não muda nada.",negativo,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
Prefiro debater educação política nas escolas antes de decidir sobre obrigatoriedade.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,USP,progressista-técnico
Difícil equilibrar proteção contra ódio e liberdade de expressão. Não existe solução perfeita.,neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UNB,político-crítico
"gente, criar um 'setor de bem-estar' sem mudar a cultura de pressão é enganação.",negativo,Saúde Mental no Ambiente Universitário,PUC_SP,progressista-católico
"Contra corte indiscriminado, mas a favor de auditoria e transparência no uso do orçamento universitário.",neutro,Cortes no Orçamento das Universidades Federais,MACKENZIE,conservador-técnico
"faz sentido, energia renovável ainda é cara e intermitente. Não dá pra desligar termelétrica do dia pra noite.",negativo,Transição Energética e Custo para a População,INSPER,liberal-meritocrático
"ué, pesquisa científica exige processo cognitivo que IA não substitui. Sou contra o uso sem restrição.",negativo,Regulamentação do Uso de IA em Provas e TCCs,UNICAMP,técnico-crítico
"cara, FIES e ProUni são as únicas portas de entrada no ensino superior pra quem não passou em federal.",positivo,Expansão ou Corte do FIES e ProUni,UNICAMP,técnico-crítico
"Sou a favor do suporte, mas sem enfrentar a raiz — competição, precariedade, futuro incerto — não muda nada.",negativo,Saúde Mental no Ambiente Universitário,UFBA,progressista-nordestino
"Apoio a iniciativa, mas quero ver dados de impacto antes de dizer que está funcionando.",neutro,Saúde Mental no Ambiente Universitário,UNB,político-crítico
"Uso como ferramenta auxiliar tudo bem, mas precisamos definir o que é plágio nesse novo contexto.",neutro,Regulamentação do Uso de IA em Provas e TCCs,USP,progressista-técnico
Voto obrigatório sem educação cívica séria é ritual vazio. Facultativo com consciência é melhor.,positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,MACKENZIE,conservador-técnico
"olha, energia renovável ainda é cara e intermitente. Não dá pra desligar termelétrica do dia pra noite.",negativo,Transição Energética e Custo para a População,MACKENZIE,conservador-técnico
"basicamente, transição energética é inevitável. Quanto mais tarde, mais caro pra todo mundo.",positivo,Transição Energética e Custo para a População,INSPER,liberal-meritocrático
"basicamente, banir IA é ingenuidade. Precisamos ensinar a usar com ética e transparência.",positivo,Regulamentação do Uso de IA em Provas e TCCs,FGV,liberal-econômico
"Arma não protege, estatística mundial é clara. Restrição salva vidas.",positivo,Desarmamento vs. Flexibilização do Porte de Armas,UFRJ,progressista-carioca
Nem desarmamento total nem porte livre. Regulamentação séria com critério é o meio-termo razoável.,neutro,Desarmamento vs. Flexibilização do Porte de Armas,MACKENZIE,conservador-técnico
Regulamentação de conteúdo é censura com outro nome. Sou contra.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFMG,progressista-regional
"Nossa, que avanço ter esse debate de forma séria. A PUC precisava disso há anos.",positivo,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
PL das fake news na versão atual concentra poder de moderação no Estado. Não pode.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UNICAMP,técnico-crítico
"Oxe, cortar FIES em ano de desemprego alto é a pior decisão possível.",positivo,Expansão ou Corte do FIES e ProUni,MACKENZIE,conservador-técnico
Difícil equilibrar proteção contra ódio e liberdade de expressão. Não existe solução perfeita.,neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UFBA,progressista-nordestino
"Nossa, que avanço ter esse debate de forma séria. A PUC precisava disso há anos.",positivo,Saúde Mental no Ambiente Universitário,MACKENZIE,conservador-técnico
Nem proibir nem liberar sem critério. Precisamos de política clara e consistente entre os departamentos.,neutro,Regulamentação do Uso de IA em Provas e TCCs,USP,progressista-técnico
Cada disciplina tem uma relação diferente com IA. Não dá pra ter uma regra única pra tudo.,neutro,Regulamentação do Uso de IA em Provas e TCCs,UFRJ,progressista-carioca
Cidadão de bem desarmado é vítima fácil. Sou a favor do porte responsável.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,UFRJ,progressista-carioca
